title,company,location,sector,description,contract_type,salary,posted_date,job_url,source_website
Responsable Marketing Digital,Entreprise Anonyme,Tunis,,No description available,,,02/12/2025,https://www.keejob.com/offres-emploi/231773/responsable-marketing-digital/,keejob.com
Directeur audit Groupe,STAROIL,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/13841/staroil-sa/,keejob.com
Gestionnaire de Portefeuille,EL AMEL MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/18459/el-amel-de-microfinance/,keejob.com
ASSISTANTE DE DIRECTION,PHARMAGHREB,Tunis,santé / paramédical / optique,santé / paramédical / optique CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/859/pharmaghreb/,keejob.com
Gestionnaire de Portefeuille,EL AMEL MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/18459/el-amel-de-microfinance/,keejob.com
Chef Magasinier,Entreprise Anonyme,Tunis,CDI,CDI 15000 - 20000 TND,15000 - 20000 TND,15000-20000 TND,02/12/2025,https://www.keejob.com/offres-emploi/231105/chef-magasinier/,keejob.com
Responsable de Point de Vente Adjoint,MBM TRADING CO,Tunis,import / export,import / export CDI SIVP 750 - 950 TND,CDI,750-950 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/9721/mbm-trading-co/,keejob.com
Conseilleres de Vente / Caissieres,BEN YAGHLANE SHOPS,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/25006/ben-yaghlane-shops/,keejob.com
Technicien Maintenance Electrique - BJO,Entreprise Anonyme,Tunis,CDD,CDD SIVP 800 - 1500 TND,SIVP,800-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/231787/technicien-maintenance-electrique-bjo/,keejob.com
Agent de Transit  Département Logistique,SANLUCAR TUNISIE,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/12167/sanlucar-tunisie/,keejob.com
Directeur dhôtel,MEDINA GROUP,Tunis,tourisme / hôtellerie / restauration / loisirs,tourisme / hôtellerie / restauration / loisirs CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/19398/st%C3%A9-la-paix-group-poulina/,keejob.com
Mid-level Java Developer,BINITNS,Tunis,consulting / étude / stratégie,consulting / étude / stratégie,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/20695/binitns/,keejob.com
Conducteur machine BJO,CARTHAGO SANITAIRE,Tunis,autres,autres CDD SIVP 700 - 900 TND,CDD,700-900 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/28304/ste-carthago-sanitaire/,keejob.com
Chef de projet  Armoire Électrique,PLASTIC ELECTROMECHANIC COMPANY PEC,Tunis,industrie électro-mécaniques,industrie électro-mécaniques CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/6220/plastic-electromechanic-company/,keejob.com
Chargé Contentieux - Remedial Officer,BANK ABC,Tunis,banque / finance / assurances,banque / finance / assurances CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11980/abc-bank/,keejob.com
TECNOCASA LAOUINA  AGENT IMMOBILIER,TECNOCASA GROUP,Tunis,architecture / immobilier / BTP,architecture / immobilier / BTP CDI CDD SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/15474/vinci-conseils-tecnocasa/,keejob.com
Chargé Audit QESH  Zone Cap Bon,AZIZA,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/4598/confidentiel/,keejob.com
Tecnocasa Marsa Les Pins,TECNOCASA GROUP,Tunis,architecture / immobilier / BTP,architecture / immobilier / BTP CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/15474/vinci-conseils-tecnocasa/,keejob.com
Responsable écoute client,AZIZA,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/4598/confidentiel/,keejob.com
Master Data / Référent ERP,GROUP BENETEAU TUNISIE,Tunis,aéronautique / aviation / voyagiste,aéronautique / aviation / voyagiste CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/29427/group-beneteau-tunisie/,keejob.com
Superviseur Méthodes,ONETECH,Tunis,informatique / télécoms,informatique / télécoms CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/4966/onetech-holding/,keejob.com
Agent de Terrain,INTERNATIONAL DESTINATION MANAGEMENT HOTELS,Tunis,tourisme / hôtellerie / restauration / loisirs,tourisme / hôtellerie / restauration / loisirs CDI CDD 800 - 1300 TND,CDI,800-1300 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/18935/international-destination-management-hotels/,keejob.com
Agent Dentretien,INTERNATIONAL DESTINATION MANAGEMENT HOTELS,Tunis,tourisme / hôtellerie / restauration / loisirs,tourisme / hôtellerie / restauration / loisirs CDI CDD 800 - 1200 TND,CDI,800-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/18935/international-destination-management-hotels/,keejob.com
Vendeur se,ABCO DISTRIBUTION,Tunis,commerce / vente / distribution,commerce / vente / distribution 500 - 600 TND,500 - 600 TND,500-600 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/12134/abco-distribution/,keejob.com
Financier,INTERNATIONAL DESTINATION MANAGEMENT HOTELS,Tunis,tourisme / hôtellerie / restauration / loisirs,tourisme / hôtellerie / restauration / loisirs CDI CDD SIVP 800 - 1200 TND,CDI,800-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/18935/international-destination-management-hotels/,keejob.com
Technicien Supérieur En Électricité,SOCIÉTÉ TUNISIENNE DES TRAVEAUX,Tunis,électronique / électricité / énergie,électronique / électricité / énergie CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/30511/soci%C3%A9t%C3%A9-tunisienne-des-traveaux/,keejob.com
Formateurtrice en Logistique,INSTITUT DES SCIENCES ECONOMIQUES ET DE GESTION,Tunis,enseignement / formation / puériculture,enseignement / formation / puériculture,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/32913/institut-des-sciences-economiques-et-de-gestion/,keejob.com
Conseiller Clientèle / Service Client,FILIASSUR TUNISIE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/182/phoneworld/,keejob.com
Responsable de Production H/F,Entreprise Anonyme,Tunis,CDI,CDI,,,02/12/2025,https://www.keejob.com/offres-emploi/232652/responsable-de-production-hf/,keejob.com
Technico-commercial,Entreprise Anonyme,Tunis,CDI,CDI SIVP,SIVP,,02/12/2025,https://www.keejob.com/offres-emploi/232653/technico-commercial/,keejob.com
Secretaire medicale,CABINET DENTAIRETUNISIE,Tunis,santé / paramédical / optique,santé / paramédical / optique SIVP 500 - 700 TND,SIVP,500-700 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/15966/cabinet-dentairetunisie/,keejob.com
Télévendeuse,FORCE PLUS,Tunis,communication / publicité / média,communication / publicité / média CDI SIVP 800 - 950 TND,CDI,800-950 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/24175/force-plus/,keejob.com
Ingénieur Technico-Commercial,PROLOGIC TUNISIE,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI SIVP 1500 - 2000 TND,CDI,1500-2000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33752/prologic-tunisie/,keejob.com
Technicien électromécanicien BTS,CRIT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/159/crit/,keejob.com
Commercial,JMB INORMATIQUE,Tunis,autres,autres CDD 1000 - 2000 TND,CDD,1000-2000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/23913/jmb-inormatique/,keejob.com
Assureur Conseil en Assurance IARD,PROTECT  TUNISIE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP 1200 - 1600 TND,CDI,1200-1600 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/10290/protect-tunsie/,keejob.com
Gestionnaire en Assurances IARD,PROTECT  TUNISIE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP 1200 - 1400 TND,CDI,1200-1400 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/10290/protect-tunsie/,keejob.com
Chargé qualité et process SOUSCRIPTION,PROTECT  TUNISIE,Tunis,banque / finance / assurances,banque / finance / assurances CDI 1500 - 1700 TND,CDI,1500-1700 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/10290/protect-tunsie/,keejob.com
Technicien en agroalimentaire,EL MAZRAA,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/13535/elmazraa/,keejob.com
Souscripteur en Assurances IARD,PROTECT  TUNISIE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP 1200 - 1400 TND,CDI,1200-1400 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/10290/protect-tunsie/,keejob.com
Chargé Export,EL MAZRAA,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/13535/elmazraa/,keejob.com
Commerciale Secteur Médical,TEXTILE MÉDICAL INTELLIGENT T,Tunis,santé / paramédical / optique,santé / paramédical / optique CDI 1500 - 2500 TND,CDI,1500-2500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/29825/textile-m%C3%A9dical-intelligent-t/,keejob.com
Ingénieur Achat Technique,POULINA GROUP HOLDING,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/198/poulina-group-holding/,keejob.com
Ingénieur Data,EFFIOS EXPERTISE,Tunis,informatique / télécoms,informatique / télécoms CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/27402/effios-expertise/,keejob.com
Ingénieur Chef dAtelier Électrique N,SOTUCHOC,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11711/sotuchoc/,keejob.com
Team Leader/Coach Assurances Tunis,SODEDIF NEOPRO,Tunis,call center / télévente,call center / télévente CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/6816/groupe-sodedif/,keejob.com
Technicien en Extrusion,HUTCHINSON,Tunis,industrie électro-mécaniques,industrie électro-mécaniques CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/2010/hutchinson/,keejob.com
Chargée de Recouvrement,EL AMEL MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/18459/el-amel-de-microfinance/,keejob.com
INGENIEUR EN CHIMIE INDUSTRIEL ET DE PROCESS,Entreprise Anonyme,Tunis,CDI,CDI CDD,CDD,,02/12/2025,https://www.keejob.com/offres-emploi/232618/ingenieur-en-chimie-industriel-et-de-process/,keejob.com
Directeur Food  Beverage,GROUPE STUNAS INDUSTRIES,Tunis,industrie métalliques,industrie métalliques CDD 1500 - 3000 TND,CDD,1500-3000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/15524/groupe-stunas-industries/,keejob.com
Chargée Clientèle,Entreprise Anonyme,Tunis,SIVP,SIVP 500 - 700 TND,500 - 700 TND,500-700 TND,02/12/2025,https://www.keejob.com/offres-emploi/232624/charg%C3%A9e-client%C3%A8le/,keejob.com
Learning  Development Coordinator,GROUPE STUNAS INDUSTRIES,Tunis,industrie métalliques,industrie métalliques CDD 800 - 1200 TND,CDD,800-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/15524/groupe-stunas-industries/,keejob.com
Technicien en Chauffage et Plomberie,Entreprise Anonyme,Tunis,CDI,CDI 800 - 1000 TND,800 - 1000 TND,800-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/232642/technicien-en-chauffage-et-plomberie/,keejob.com
Technicien Informatique,TUNISIE PLASTIQUE SYSTEME,Tunis,autres,autres CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/25732/tunisie-plastique-systeme/,keejob.com
Dessinateur DAO,Entreprise Anonyme,Tunis,CDI,CDI 1300 - 1600 TND,1300 - 1600 TND,1300-1600 TND,02/12/2025,https://www.keejob.com/offres-emploi/232619/dessinateur-dao-nuage-de-points/,keejob.com
Rédacteur Technique,LOOYAS,Tunis,informatique / télécoms,informatique / télécoms CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/20492/looyas/,keejob.com
Technicien en maintenance,Entreprise Anonyme,Tunis,CDI,CDI SIVP 30 - 300 TND,SIVP,30-300 TND,02/12/2025,https://www.keejob.com/offres-emploi/232622/technicien-en-maintenance/,keejob.com
livreur,Entreprise Anonyme,Tunis,CDI,CDI CDD SIVP 700 - 850 TND,CDD,700-850 TND,02/12/2025,https://www.keejob.com/offres-emploi/232630/livreur/,keejob.com
AGENT IMMOBILIER TECNOCASA,TECNOCASA GROUP,Tunis,architecture / immobilier / BTP,architecture / immobilier / BTP,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/15474/vinci-conseils-tecnocasa/,keejob.com
Chargée Ordonnancement et paie,DICK ELEVAGE GROUPE POULINA,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/27610/soci%C3%A9t%C3%A9-dick-elevage-_groupe-poulina/,keejob.com
Chargé administratif,ASR développement,Tunis,informatique / télécoms,informatique / télécoms CDI CDD SIVP 600 - 1500 TND,CDI,600-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/9538/asr-d%C3%A9veloppement/,keejob.com
Chargée de Recouvrement Contentieux,LA CENTRALE DE RECOUVREMENT DES CREANCES CRC,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP 1000 - 1001 TND,CDI,1000-1001 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33841/la-centrale-de-recouvrement-des-creances/,keejob.com
Chauffeur,LA CENTRALE DE RECOUVREMENT DES CREANCES CRC,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP Indépendant/Freelance 700 - 701 TND,CDI,700-701 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33841/la-centrale-de-recouvrement-des-creances/,keejob.com
Développeur .Net,SO2TT365,Tunis,informatique / télécoms,informatique / télécoms SIVP 1200 - 1400 TND,SIVP,1200-1400 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/24318/so2tt365/,keejob.com
Directeur Administratif et Financier,SMARTADVISING,Tunis,informatique / télécoms,informatique / télécoms CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/31995/smartadvising/,keejob.com
Zaghouan-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Mahdia-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
3 Inspecteurs dAssurance  Tunis,ASSURANCES COMAR,Tunis,banque / finance / assurances,banque / finance / assurances CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/17497/assurances-comar/,keejob.com
Contrôleur Qualité dassemblage véhicule,STAROIL,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/13841/staroil-sa/,keejob.com
Gafsa-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Ingénieur Structures,SCET TUNISIE,Tunis,consulting / étude / stratégie,consulting / étude / stratégie CDI 1111 - 1112 TND,CDI,1111-1112 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/281/scet-tunisie/,keejob.com
Vendeur/ Caissier Pull and Bear Tunis city,TUNTEX,Tunis,commerce / vente / distribution,commerce / vente / distribution 730 - 740 TND,730 - 740 TND,730-740 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/7292/tuntex/,keejob.com
Pupitreur,Entreprise Anonyme,Tunis,CDI,CDI SIVP,SIVP,,02/12/2025,https://www.keejob.com/offres-emploi/231704/pupitreur/,keejob.com
Chef déquipe De Production Agro Alimentaire,IAT,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/2833/iat/,keejob.com
Administrateur Système et Sécurité,ASSURANCES COMAR,Tunis,banque / finance / assurances,banque / finance / assurances CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/17497/assurances-comar/,keejob.com
Responsable Bureau dÉtudes,STAROIL,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/13841/staroil-sa/,keejob.com
Bizerte-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
commercial junior Sousse,STAROIL,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/13841/staroil-sa/,keejob.com
Chargée Trésorerie et Financement,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Nabeul-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Responsable de point de vente Tunis,BARIOLO,Tunis,tourisme / hôtellerie / restauration / loisirs,tourisme / hôtellerie / restauration / loisirs CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/19405/bariolo/,keejob.com
Vendeur/ Caissier Bershka Tunis city,TUNTEX,Tunis,commerce / vente / distribution,commerce / vente / distribution 730 - 740 TND,730 - 740 TND,730-740 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/7292/tuntex/,keejob.com
Spécialiste en Microbiologie,PLASTIC ELECTROMECHANIC COMPANY PEC,Tunis,industrie électro-mécaniques,industrie électro-mécaniques CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/6220/plastic-electromechanic-company/,keejob.com
Production Pharmacist,Entreprise Anonyme,Tunis,CDI,CDI 999 - 9999 TND,999 - 9999 TND,999-9999 TND,02/12/2025,https://www.keejob.com/offres-emploi/231703/production-pharmacist/,keejob.com
Responsable Ordonnancement,LABORATOIRES ADWYA,Tunis,santé / paramédical / optique,santé / paramédical / optique,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/13426/adwya/,keejob.com
Chargée HSE,CRIT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/159/crit/,keejob.com
commercial junior Tunis,STAROIL,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/13841/staroil-sa/,keejob.com
Directeur Administratif et Financier,FATALES,Tunis,cosmétique / parfumerie / luxe,cosmétique / parfumerie / luxe CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/31/fatales/,keejob.com
H-Lif - Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Ariana-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Intilaka-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Barcelone-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Manouba-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Sfax-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Hammam Sousse-Commerciaux terrain,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Monastir-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Menzel Temime-Commerciaux terrain,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Kebili-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Kairouan-Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Medjez El Beb -Commerciaux terrain,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
El Kef -Commerciaux terrain en Microfinance,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Sales Operator,ASTRAGALE,Tunis,call center / télévente,call center / télévente CDI SIVP 1000 - 5000 TND,CDI,1000-5000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/14096/casanova/,keejob.com
Dispatcher,Entreprise Anonyme,Tunis,CDI,CDI 2200 - 2500 TND,2200 - 2500 TND,2200-2500 TND,02/12/2025,https://www.keejob.com/offres-emploi/232606/dispatcher/,keejob.com
Infirmière de travail,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Agent de transit,Entreprise Anonyme,Tunis,CDD,CDD 800 - 1000 TND,800 - 1000 TND,800-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/232601/agent-de-transit/,keejob.com
Assistante Administrative 6 mois,LABORATOIRE THERA,Tunis,santé / paramédical / optique,santé / paramédical / optique CDD SIVP Saisonnier,CDD,,02/12/2025,https://www.keejob.com/offres-emploi/companies/17388/laboratoire-thera/,keejob.com
BTP en Maintenance Industrielle Fejja,SOTUCHOC,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11711/sotuchoc/,keejob.com
Ingénieur Chef dAtelier Électrique Fejja,SOTUCHOC,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11711/sotuchoc/,keejob.com
01 Technicien Maintenance câblage,PLASTIC ELECTROMECHANIC COMPANY PEC,Tunis,industrie électro-mécaniques,industrie électro-mécaniques CDI CDD,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/6220/plastic-electromechanic-company/,keejob.com
Dessinateur,TUNIBER,Tunis,architecture / immobilier / BTP,architecture / immobilier / BTP CDI 1500 - 2200 TND,CDI,1500-2200 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/31840/tuniber-ingenierie-et-construction/,keejob.com
Professeur déducation civique,TAYBAH,Tunis,autres,autres CDI SIVP 700 - 1000 TND,CDI,700-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/30043/taybah/,keejob.com
Conseiller en immobilier au Centre-Ville,TECNOCASA GROUP,Tunis,architecture / immobilier / BTP,architecture / immobilier / BTP CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/15474/vinci-conseils-tecnocasa/,keejob.com
Technicien supérieur Kairouan,STAROIL,Tunis,commerce / vente / distribution,commerce / vente / distribution SIVP,SIVP,,02/12/2025,https://www.keejob.com/offres-emploi/companies/13841/staroil-sa/,keejob.com
Chargée Des Projets Photovoltaïques,POULINA GROUP HOLDING,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/198/poulina-group-holding/,keejob.com
Assistante Commerciale,PROMOLAB,Tunis,chimie / biologie / physique,chimie / biologie / physique SIVP,SIVP,,02/12/2025,https://www.keejob.com/offres-emploi/companies/32789/societe-promolab/,keejob.com
Mécanicien Machines à coudre,Entreprise Anonyme,Tunis,CDI,CDI 1000 - 1500 TND,1000 - 1500 TND,1000-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/232551/m%C3%A9canicien-machines-%C3%A0-coudre/,keejob.com
Technicien biomédical,SMPM,Tunis,santé / paramédical / optique,santé / paramédical / optique CDI 800 - 1000 TND,CDI,800-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/21371/smpm/,keejob.com
Stage PFE  Ingénieur dAffaires,BENMAN GROUP TUNISIE,Tunis,informatique / télécoms,informatique / télécoms Stage/PFE,Stage/PFE,,02/12/2025,https://www.keejob.com/offres-emploi/companies/33521/benman-group-tunisie/,keejob.com
Stage PFE  Ingénieur dAffaires,BENMAN GROUP TUNISIE,Tunis,informatique / télécoms,informatique / télécoms Stage/PFE,Stage/PFE,,02/12/2025,https://www.keejob.com/offres-emploi/companies/33521/benman-group-tunisie/,keejob.com
Responsable commercial,I2I EMEA,Tunis,import / export,import / export SIVP 1000 - 1200 TND,SIVP,1000-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/13107/i2i-emea/,keejob.com
